# (x y) dist_from_charge phi Ex Ey Ez
2.400000000000000000e+01 0.000000000000000000e+00 2.501999200639360765e+01 3.219675185550049168e+00 8.094493230563272218e-05 1.005030865183315037e-06 -9.285863048256277549e-08
2.500000000000000000e+01 0.000000000000000000e+00 2.500000000000000000e+01 3.218875824868200564e+00 8.113843168188950212e-05 -9.294256149377881897e-08 -9.294256149377881897e-08
2.600000000000000000e+01 0.000000000000000000e+00 2.501999200639360765e+01 3.219675185550049168e+00 8.085512711912431994e-05 -1.191551564204543006e-06 -9.264684431821912022e-08
2.700000000000000000e+01 0.000000000000000000e+00 2.507987240796890660e+01 3.222065628350220479e+00 8.010105530602557174e-05 -2.268102470024679364e-06 -9.197914617620369087e-08
2.800000000000000000e+01 0.000000000000000000e+00 2.517935662402834396e+01 3.226024477218612851e+00 7.888757327597286794e-05 -3.301105207118002253e-06 -9.093592637609399475e-08
2.900000000000000000e+01 0.000000000000000000e+00 2.531797780234432693e+01 3.231514728460334940e+00 7.723774409927990623e-05 -4.271503880631447167e-06 -8.952915203762226801e-08
3.000000000000000000e+01 0.000000000000000000e+00 2.549509756796392423e+01 3.238486181444841350e+00 7.517826810690813872e-05 -5.163417070958720026e-06 -8.775970154543380388e-08
3.100000000000000000e+01 0.000000000000000000e+00 2.570992026436488231e+01 3.246876919925843374e+00 7.274502549912145949e-05 -5.964965119688187011e-06 -8.564340405983099716e-08
3.200000000000000000e+01 0.000000000000000000e+00 2.596150997149434048e+01 3.256615055456153485e+00 6.997474004801575208e-05 -6.668297746605621190e-06 -8.318519274017716850e-08
3.300000000000000000e+01 0.000000000000000000e+00 2.624880949681337583e+01 3.267620635506829352e+00 6.690999927500752733e-05 -7.269898245094991293e-06 -8.040408723350856834e-08
3.400000000000000000e+01 0.000000000000000000e+00 2.657066051117284644e+01 3.279807618746620967e+00 6.359120010541408573e-05 -7.769935933394438404e-06 -7.730850538803079458e-08
3.500000000000000000e+01 0.000000000000000000e+00 2.692582403567251959e+01 3.293085827427337353e+00 6.006136547413844045e-05 -8.172200319631395585e-06 -7.391982894141928533e-08
3.600000000000000000e+01 0.000000000000000000e+00 2.731300056749532601e+01 3.307362800101880218e+00 5.635882466074660952e-05 -8.483025021517674302e-06 -7.024926842316768331e-08
3.700000000000000000e+01 0.000000000000000000e+00 2.773084924772409465e+01 3.322545484752822187e+00 5.252199720448834418e-05 -8.711123812990626946e-06 -6.631967562605392292e-08
3.800000000000000000e+01 0.000000000000000000e+00 2.817800560721074277e+01 3.338541730623568071e+00 4.858306827898272703e-05 -8.866366851648261065e-06 -6.214433312328013388e-08
3.900000000000000000e+01 0.000000000000000000e+00 2.865309756378880479e+01 3.355261554726213902e+00 4.457272681942646853e-05 -8.959749205752999199e-06 -5.774670233365527617e-08
4.000000000000000000e+01 0.000000000000000000e+00 2.915475947422650194e+01 3.372618174742180841e+00 4.051491494747014896e-05 -9.002212191396905916e-06 -5.314147709649819779e-08
4.100000000000000000e+01 0.000000000000000000e+00 2.968164415931165934e+01 3.390528812968089500e+00 3.643137381125600115e-05 -9.004859587782203592e-06 -4.835198331261722883e-08
4.200000000000000000e+01 0.000000000000000000e+00 3.023243291566194912e+01 3.408915285727075251e+00 3.233743427308231709e-05 -8.977900609879694573e-06 -4.339379650271683268e-08
