p1 p3 <I>/N
0.2 0.0 0.0
0.2 0.05 0.0
0.2 0.1 0.0
0.2 0.15000000000000002 0.0
0.2 0.2 0.0
0.2 0.25 0.0
0.2 0.30000000000000004 0.0
0.2 0.35000000000000003 0.008085245901639344
0.2 0.4 0.03819151943462897
0.2 0.45 0.08334690618762475
0.2 0.5 0.10857724550898204
0.2 0.55 0.12508423153692616
0.2 0.6000000000000001 0.1404934131736527
0.2 0.65 0.15121516966067863
0.2 0.7000000000000001 0.16121516966067864
0.2 0.75 0.16675369261477047
0.2 0.8 0.17508902195608783
0.2 0.8500000000000001 0.18099600798403193
0.2 0.9 0.18538522954091816
0.2 0.9500000000000001 0.19188702594810378
0.2 1.0 0.19416447105788423
0.25 0.0 0.0
0.25 0.05 0.0
0.25 0.1 0.0
0.25 0.15000000000000002 0.0
0.25 0.2 0.0
0.25 0.25 0.0
0.25 0.30000000000000004 0.0037536
0.25 0.35000000000000003 0.0086
0.25 0.4 0.07688383233532933
0.25 0.45 0.11903153692614772
0.25 0.5 0.14066586826347305
0.25 0.55 0.1624874251497006
0.25 0.6000000000000001 0.17709860279441117
0.25 0.65 0.18842714570858285
0.25 0.7000000000000001 0.19913253493013972
0.25 0.75 0.20714850299401197
0.25 0.8 0.21256806387225546
0.25 0.8500000000000001 0.22097644710578843
0.25 0.9 0.22657884231536926
0.25 0.9500000000000001 0.23133852295409182
0.25 1.0 0.2360243512974052
0.30000000000000004 0.0 0.0
0.30000000000000004 0.05 0.0
0.30000000000000004 0.1 0.0
0.30000000000000004 0.15000000000000002 0.0
0.30000000000000004 0.2 0.0
0.30000000000000004 0.25 0.0003
0.30000000000000004 0.30000000000000004 0.007751351351351352
0.30000000000000004 0.35000000000000003 0.038962874251497005
0.30000000000000004 0.4 0.10731536926147706
0.30000000000000004 0.45 0.14821477045908185
0.30000000000000004 0.5 0.17266067864271456
0.30000000000000004 0.55 0.19212295409181637
0.30000000000000004 0.6000000000000001 0.20696646706586824
0.30000000000000004 0.65 0.21991896207584832
0.30000000000000004 0.7000000000000001 0.23307744510978046
0.30000000000000004 0.75 0.24054610778443117
0.30000000000000004 0.8 0.24830898203592816
0.30000000000000004 0.8500000000000001 0.2555988023952096
0.30000000000000004 0.9 0.2605928143712575
0.30000000000000004 0.9500000000000001 0.26648942115768465
0.30000000000000004 1.0 0.2716622754491018
0.35000000000000003 0.0 0.0
0.35000000000000003 0.05 0.0
0.35000000000000003 0.1 0.0
0.35000000000000003 0.15000000000000002 0.0
0.35000000000000003 0.2 0.0
0.35000000000000003 0.25 0.0
0.35000000000000003 0.30000000000000004 0.019153246753246752
0.35000000000000003 0.35000000000000003 0.06399880239520958
0.35000000000000003 0.4 0.1340303393213573
0.35000000000000003 0.45 0.17126706586826346
0.35000000000000003 0.5 0.19671576846307384
0.35000000000000003 0.55 0.22051576846307386
0.35000000000000003 0.6000000000000001 0.23496127744510978
0.35000000000000003 0.65 0.24803952095808382
0.35000000000000003 0.7000000000000001 0.2603788423153693
0.35000000000000003 0.75 0.26847305389221554
0.35000000000000003 0.8 0.2783157684630738
0.35000000000000003 0.8500000000000001 0.28481437125748504
0.35000000000000003 0.9 0.29101596806387225
0.35000000000000003 0.9500000000000001 0.2971688622754491
0.35000000000000003 1.0 0.30213932135728544
0.4 0.0 0.0
0.4 0.05 0.0
0.4 0.1 0.0
0.4 0.15000000000000002 0.0
0.4 0.2 0.0
0.4 0.25 0.0015703703703703704
0.4 0.30000000000000004 0.006384
0.4 0.35000000000000003 0.09577445109780439
0.4 0.4 0.1576926147704591
0.4 0.45 0.19379520958083835
0.4 0.5 0.21853013972055887
0.4 0.55 0.24116047904191618
0.4 0.6000000000000001 0.25699241516966065
0.4 0.65 0.27164191616766464
0.4 0.7000000000000001 0.28237125748502995
0.4 0.75 0.2928467065868263
0.4 0.8 0.30277644710578844
0.4 0.8500000000000001 0.309039121756487
0.4 0.9 0.3161121756487026
0.4 0.9500000000000001 0.32317125748502995
0.4 1.0 0.3282163672654691
0.45 0.0 0.0
0.45 0.05 0.0
0.45 0.1 0.0
0.45 0.15000000000000002 0.0
0.45 0.2 0.0
0.45 0.25 0.003606153846153846
0.45 0.30000000000000004 0.02083743500866551
0.45 0.35000000000000003 0.11623512974051896
0.45 0.4 0.17514970059880242
0.45 0.45 0.2122954091816367
0.45 0.5 0.23864990019960078
0.45 0.55 0.26014491017964075
0.45 0.6000000000000001 0.27630299401197606
0.45 0.65 0.2922307385229541
0.45 0.7000000000000001 0.3033433133732535
0.45 0.75 0.3134598802395209
0.45 0.8 0.32331017964071856
0.45 0.8500000000000001 0.33163992015968063
0.45 0.9 0.3391588822355289
0.45 0.9500000000000001 0.3448423153692615
0.45 1.0 0.35012614770459083
0.5 0.0 0.0
0.5 0.05 0.0
0.5 0.1 0.0
0.5 0.15000000000000002 0.0
0.5 0.2 0.0
0.5 0.25 0.0
0.5 0.30000000000000004 0.038335329341317365
0.5 0.35000000000000003 0.13149820359281436
0.5 0.4 0.19134251497005986
0.5 0.45 0.22720518962075847
0.5 0.5 0.25382794411177645
0.5 0.55 0.27731616766467065
0.5 0.6000000000000001 0.29452894211576847
0.5 0.65 0.3088075848303393
0.5 0.7000000000000001 0.32093612774451097
